id,product_name,product_description,category,category_id,created_at,updated_at,seller_id,seller_name
66,New energy automobile parts,"Battery Pack: Stores the electrical energy that powers the vehicle. 
Electric Motor: Propels the car, with modern designs focusing on high efficiency and lightweight construction. 
Power Electronics Controller: Manages the flow of electrical energy to and from the motor and other components.",Automobile,10,2025-10-17 07:11:40.575978,2025-10-17 07:11:40.576022,65,Akash gupta
67,Break repair,"We provide reliable and professional brake inspection, maintenance, and repair for all types of vehicles. Our technicians ensure your brake pads, rotors, and fluids are in top condition for maximum safety. From minor adjustments to full replacements, we handle it all with precision and care.",Automobile,10,2025-10-17 07:14:35.890873,2025-10-17 07:14:35.890926,66,Anju yadav
68,Automobile battery,An automobile battery is a rechargeable energy storage device that supplies electrical power to a vehicle. Its primary function is to provide the necessary current to start the engine and to power electrical components when the engine is not running. Once the engine starts the vehicle alternator,Automobile,10,2025-10-17 07:16:23.678609,2025-10-17 07:16:23.678693,65,Akash gupta
69,Bike horn,"Our bike horns are designed for loud, clear sound to ensure safety on busy roads. Built with durable materials, they withstand all weather conditions. Easy to install and compatible with most two-wheelers. Ride confidently knowing you always be heard when it matters most.",Automobile,10,2025-10-17 07:17:01.048792,2025-10-17 07:17:01.048846,66,Anju yadav
88,Pick Up truck,"A full-size pickup truck is a body-on-frame vehicle designed for both personal and commercial use. These trucks are characterized by their larger dimensions, higher payload capacities, and more powerful engines compared to mid-size trucks. They typically offer: Engine Options: V6, V8, and diesel eng",Automobile,10,2025-10-17 09:33:02.685977,2025-10-17 09:33:02.686038,70,Vikram Patel
92,Electrical & Electronics,Battery Provides electrical power to start the engine. Alternator  Charges battery and powers electrical systems. Starter motor  Cranks the engine to start. ECU Engine Control Unit Brain of modern vehicles. Sensors & wiring harness Monitor and transmit data,Automobile,10,2025-10-17 10:03:38.357703,2025-10-17 10:03:38.357749,70,Vikram Patel
81,Travel booking services,Flight and Train Ticket Booking Hotel & Resort Reservations Cruise Bookings Visa Assistance  Travel Insurance,Travel and Tourism,11,2025-10-17 09:18:33.205608,2025-10-17 09:18:33.205655,72,Vandana Yadav
82,Custom Travels solution,"Tailor-made Itineraries Family Vacation Planning Destination Weddings & Event Travel MICE (Meetings, Incentives, Conferences, Exhibitions)",Travel and Tourism,11,2025-10-17 09:20:57.166419,2025-10-17 09:20:57.166462,72,Vandana Yadav
84,Travel Booking services,Flight and Train Ticket Booking Hotel & Resort Reservations Cruise Bookings Visa Assistance & Travel Insurance,Travel and Tourism,11,2025-10-17 09:25:03.819365,2025-10-17 09:25:03.819428,72,Vandana Yadav
72,Digital marketing,"Learn the core concepts of digital marketing, including SEO, social media strategies, email campaigns, and online advertising. This course helps you create effective marketing plans to boost brand visibility. Hands-on projects provide real-world experience.",Education,12,2025-10-17 07:25:40.202666,2025-10-17 07:25:40.202741,69,Raj Sharma
73,Full Stack Development,"Master both front-end and back-end web development using HTML, CSS, JavaScript, and popular frameworks. Learn to build responsive websites, dynamic applications, and REST APIs. Includes practical projects for portfolio building. Gain the skills required to become a professional web developer.",Education,12,2025-10-17 07:27:20.894426,2025-10-17 07:27:20.894469,69,Raj Sharma
83,Artificial intelligence,"Learn the fundamentals of Artificial Intelligence, including machine learning, neural networks, and natural language processing. Gain hands-on experience with real-world AI projects and predictive analytics. Understand how AI can solve complex problems and improve decision-making across industries.",Education,12,2025-10-17 09:23:20.704653,2025-10-17 09:23:20.704703,73,Ankit More
85,Business Management,"Develop essential skills in management, planning, and effective leadership to drive organizational success. Learn strategic decision-making, team building, and operational management techniques. Explore real-world business challenges through case studies and practical projects.",Education,12,2025-10-17 09:25:11.384164,2025-10-17 09:25:11.384219,73,Ankit More
86,Graphic Design & UI/UX,"Explore creative design principles and learn tools like Photoshop, Illustrator, and Figma. Understand user experience, interface design, and visual storytelling. Work on real-world projects to build a professional portfolio. Ideal for creative minds aiming for careers in design.",Education,12,2025-10-17 09:27:29.580530,2025-10-17 09:27:29.580574,73,Ankit More
55,Cotton Bath Towel,"Item Description: What makes these towels so attractive? It's their longer, stronger loops, which give them good absorbency and softness. They also have various sizing meeting demands of customers of all ages, and they're designed to take less time in the dryer .",Homecare,15,2025-10-16 18:45:58.516713,2025-10-16 18:45:58.516753,53,Anita Banerjee
58,Cotton White Macrame Curtain,"Macrame Curtain : MCRN1081)Size: Height 70'', Length 34''2)Curtain Made with Cotton And one of more Material.3)Weight:800 gms. 4)Fashionable style. 5)Welcome to customer's sample",Homecare,15,2025-10-16 19:32:28.392818,2025-10-16 19:32:28.392858,56,Karan Nair
74,Digital Magnetic Stirrer,"A precision-engineered digital magnetic stirrer with an integrated hot plate, designed for uniform heating and efficient mixing of chemical and biological samples. Equipped with a digital temperature and speed controller, the PS-200 ensures accuracy, stability, and safety in laboratory",Constructions,19,2025-10-17 07:37:55.469788,2025-10-17 07:37:55.469827,64,Jayant Patil
75,UV-Vis spectophotometer,A high-performance UV-Vis spectrophotometer designed for precise quantitative and qualitative analysis in research and industrial laboratories.,Constructions,19,2025-10-17 07:40:45.549330,2025-10-17 07:40:45.549372,64,Jayant Patil
76,Student Microscope,A durable and user-friendly optical microscope designed for educational institutions and entry-level research applications.,Constructions,19,2025-10-17 07:46:16.605033,2025-10-17 07:51:01.537920,64,Jayant Patil
89,Service and Monitor,Servicing & Monitoring Automated payment collection and reconciliation Direct debit setup and borrower portal Statements generation and task tracking,Finance,20,2025-10-17 09:39:17.184660,2025-10-17 09:39:17.184701,68,Arjun Kene
90,Portfolio management,Portfolio Management Real-time analytics and custom dashboards Risk management tools Audit trails and centralized data warehouse,Finance,20,2025-10-17 09:40:36.539962,2025-10-17 09:40:36.540007,68,Arjun Kene
44,Hotel Booking App Development,"Xcrino Business Solutions is recognized as one of the best hotel booking app development companies in India, delivering advanced, feature-rich, and scalable solutions for the travel and hospitality industry. Whether you're a hotel chain, travel startup, or aggregator, we help you launch a custom hot",IT Services,22,2025-10-16 17:54:00.679192,2025-10-16 17:54:00.679236,49,Rohan Sharma
45,Mobile Application Development,"Mobile application development companies in the UK specialize in creating custom mobile apps tailored to client goals. From concept to deployment, they focus on scalability and user satisfaction. Xcrino Business Solutions supports UK clients by delivering cutting-edge apps designed for maximum impac",IT Services,22,2025-10-16 17:55:18.290019,2025-10-16 17:55:18.290061,49,Rohan Sharma
46,Custom Android App Development,"Custom Android App Development Services by Xcrino Business Solutions At Xcrino Business Solutions

 Custom App Design and Development  Native & Hybrid Android Solutions UI/UX Design Optimized for Android Devices App Testing & Performance Enhancement",IT Services,22,2025-10-16 17:58:04.623539,2025-10-16 17:58:04.623656,49,Rohan Sharma
79,Microsoft Office 365 Personal,"Though often thought of as a software product  Office 365 is actually a subscription based IT productivity service delivered via cloud. It provides Access to Word, Excel, PowerPoint, Outlook, OneNote etc Cloud storage via Onedrive, Cross device access.",IT Services,22,2025-10-17 09:10:33.990755,2025-10-17 09:10:33.990800,67,Samir Jain
80,IT Asset Management,"ITAM offering lets organizations manage all their IT assets hardware, software, cloud from acquisition through retirement Key features include: Automation of asset lifecycle procurement deployment maintenance  disposal Visibility  compliance tracking usage, contracts,licenses",IT Services,22,2025-10-17 09:17:53.857039,2025-10-17 09:17:53.857098,67,Samir Jain
13,Plant Layout Solar Cold Storag,"Solar Cooling allows eliminating power consumption and electricity costs. Due to the fast growing cooling demand, solar solutions will become an important pillar of cold supply. In industry and commerce, thermal driven absorption chillers offer attractive opportunities when they are powered by solar",Consultant,23,2025-10-16 12:48:14.746169,2025-10-16 12:48:14.746211,3,Akash more
14,Project (Bio-CNG Project) Brie,"Bio-CNG Project A non-polluting and renewable source of energy is obtained in a biogas plants. Under the process organic waste is converted to useful fuel. It is an excellent way of energy conversion. Automobile grade Bio-CNG can be produced from WASTE STUFF from Rural, Municipality, Fruit & Vegeta",Consultant,23,2025-10-16 12:54:28.284217,2025-10-16 12:54:28.284257,3,Akash more
15,Feasibility  Report  Green Amm,"GREEN AMMONIA Preface Though over 78% of the atmosphere is composed of nitrogen, it is difficult to use N2 directly by plants as plants can only use fixed nitrogen. The breakthrough in nitrogen fixation took place a century",Consultant,23,2025-10-16 12:57:03.849265,2025-10-16 12:57:03.849319,3,Akash more
21,Contingency Recruitment Servic,Contingency Recruitment Service We specialize in providing comprehensive contingency recruitment services across a wide spectrum of industries Industry We Serve: Hospitality Recruitment Services Oil and Gas Recruitment Service Civil Recruitment Service Engineer Recruitment Service Factory Staff Recr,Consultant,23,2025-10-16 13:23:01.354022,2025-10-16 13:23:01.354072,43,Satish kamble
22,Recruitment Consultancy Servic,"Not only in India, but companies across South and Southeast Asia, as well as the Gulf and Middle East regions, are currently experiencing a hiring boom, creating numerous job opportunities for both fresh graduates and seasoned professionals. At Ajeets, we specialize in IT and telecom recruitment ser",Consultant,23,2025-10-16 13:25:41.596573,2025-10-16 13:25:41.596627,43,Satish kamble
23,Recruitment Support Service,"We Serve: At Ajeets Management, we specialize in providing top-tier recruitment services across a diverse array of industries. Our expertise spans the following sectors: Hospitality Recruitment Services Oil and Gas Recruitment Services Civil Engineering Recruitment Services Engineering Recruitment S",Consultant,23,2025-10-16 13:27:20.112862,2025-10-16 13:27:20.112938,43,Satish kamble
24,Sewerage & Water Recruitment S,"We specialize in Sewerage and Water Recruitment Services, offering expert recruitment solutions globally.",Consultant,23,2025-10-16 13:28:55.390131,2025-10-16 13:28:55.390212,43,Satish kamble
3,Cow Milking Machine,"Owing to the years of industrial knowledge, we have been able to serve our dear clients with a wide variety of Milking Machine. This machine has ability to take out milk from 100 cows per hour",Manufacturer,25,2025-10-16 11:47:07.018755,2025-10-16 12:44:04.910565,3,Akash more
4,Synova Laser Cutting Machine,The S-1005 integrates Synovas  state-of-the-art Laser MicroJet LMJ technology with a wide machine platform and table for large work pieces. This 5-axis system with optional C2 rotary axis allows high-precision 2D and 3D machining of metals and ceramics free of heat affected zone HAZand burrs.,Manufacturer,25,2025-10-16 12:17:13.588586,2025-10-16 12:17:13.588629,14,Sandeep Kumar
5,Synova Laser Cutting Machine,"The Synova DCS 150 is a diamond cutting system designed for processing small to medium-sized natural and laboratory-grown diamonds. This 3-axis machine is capable of sawing rough diamonds ranging from 2 grz. to 4 cts., as well as coring and slicing Chemical Vapor Deposition (CVD) diamonds.",Manufacturer,25,2025-10-16 12:23:23.304668,2025-10-16 12:23:23.304714,14,Sandeep Kumar
6,LCS 50 Synova Laser Cutting,"The Synova LCS 50 is a compact and cost-efficient Laser MicroJet(LMJ) machine designed for high-precision machining of small workpieces, such as industrial diamond tools and watch components. It is available in both 3-axis  LCS 50-3and 5-axis (LCS 50-5) configurations, catering to various cuttin",Manufacturer,25,2025-10-16 12:25:23.688933,2025-10-16 12:25:23.688983,14,Sandeep Kumar
7,LCS 800 Synova Laser Cutting,The 3-axis laser cutting machine S-800 is a robust and versatile system conceived for a multitude of high-precision cutting and drilling applications in different industrial sectors. The large mounting table allows machining of virtually any part size and is suited for small series and prototypes bu,Manufacturer,25,2025-10-16 12:26:51.604809,2025-10-16 12:26:51.604853,14,Sandeep Kumar
8,LCS 303 Synova Laser Cutting,"Workshop Workhorse LCS 303The 3-axis LCS 303 with water jet guided laser technology (Laser MicroJet) is a highly accurate and reliable laser cutting system. It can process a wide variety of materials, from metals to ultra-hard and brittle materials such as diamond or ceramic, to complex composites.",Manufacturer,25,2025-10-16 12:28:53.118092,2025-10-16 12:28:53.118148,14,Sandeep Kumar
9,DaVinci Diamond Cutting Machin,"Virtually complete Rough-to-Polish   process 57 facets,one single operation  Reduced manufacturing pipeline  Higher accuracy and stone yield  Stone size: 0.25 to 10 cts",Manufacturer,25,2025-10-16 12:30:21.626435,2025-10-16 12:30:21.626477,14,Sandeep Kumar
10,DCS 50 Synova Diamond Cutting,"fancy and round bruting, coning, blocking/ faceting  Key BenefitsEasyNo focus control necessary due to long working distanceNo blackening, no opening, no double sawing neededVery little post treatment requiredProfitableMinimal weight loss and low risk of breakageFast cutting time and easy processing",Manufacturer,25,2025-10-16 12:36:48.813565,2025-10-16 12:36:48.813608,14,Sandeep Kumar
11,DCS 30 Ecoline Synova Diamond,"The Synova DCS 30 is an entry-level, compact diamond cutting system designed for high-precision sawing of small diamonds, particularly those up to 2 carats. Key Features: Ease of Use: The system requires no focus adjustment or distance control, simplifying the cutting process. High Profitability: I",Manufacturer,25,2025-10-16 12:37:55.527394,2025-10-16 12:37:55.527464,14,Sandeep Kumar
12,LDS 300M Synova Diamond Cuttin,The Laser Dicing System is primarily designed for semiconductor back-end processing; mainly wafer dicing and scribing applications. The LDS 300 M requires manual loading. Wafer alignment and kerf check are performed automatically. Synovas new 300 mm 12wafer dicing system integrates a maintenanc,Manufacturer,25,2025-10-16 12:39:37.097631,2025-10-16 12:39:37.097674,14,Sandeep Kumar
16,Cosmos Pumps 10 HP Non Clog Pu,"Cosmos Non Clog pumps can handle thick, soft, wet mud or other similarly viscous mixtures of liquids and solids, especially the product of an industrial or refining process. Suitable for Applications: Water containing mud, sludge or light slurry, tank clean-out, trench and pond cleaning, and mining.",Manufacturer,25,2025-10-16 13:08:47.114028,2025-10-16 13:08:47.114085,13,Akash More
17,Diesel Electric 30HP UPTO 125H,"The range of dry prime pumps is engineered to offer high performance in any condition. Comprising an air separator unit and a vacuum pump, it delivers rapid automatic priming. Even with suction heights of several meters, the machine rapidly evacuates the air from the suction pipe and starts to pump.",Manufacturer,25,2025-10-16 13:10:21.487385,2025-10-16 13:10:21.487425,13,Akash More
18,"10"" Diesel Engine/Motor Driven","diesel-driven unit is an 10-inch mobile pump for dewatering and sewage bypassing. This centrifugal pump is vacuum assisted, compact and multifunctional due to its large solids handling and excellent performance curves. The Tier 4 final diesel engine and the sound attenuated canopy are both state-of-",Manufacturer,25,2025-10-16 13:11:38.794155,2025-10-16 13:11:38.794195,13,Akash More
19,DEWATERING PUMPS For CONTROL G,"This process is used in numerous diligence but generally appertained to in constructions and wastewater when water is separated from solids through a variety of different pumping or filtering processes. Construction dewatering is frequently appertained to as dewatering, unwatering, or water control.",Manufacturer,25,2025-10-16 13:14:41.745776,2025-10-16 13:14:41.745819,13,Akash More
20,Single-stage Pump Trolley Moun,"The range of dry prime pumps is engineered to offer high performance in any condition. Comprising an air separator unit and a vacuum pump, it delivers rapid automatic priming. Even with suction heights of several meters, the machine rapidly evacuates the air from the suction pipe and starts to pump.",Manufacturer,25,2025-10-16 13:15:57.305334,2025-10-16 13:15:57.305371,13,Akash More
57,TPR PVC Welding Hoses For Gas,"Being a client focused organization, we are engaged in offering an extensive array of PVC Welding Hoses in different sizes and colors. Offered welding hoses are used as a piping component in various welding machines that ensure the inflow and outflow while the continuation of welding process. At our",Manufacturer,25,2025-10-16 19:26:03.531011,2025-10-16 19:26:03.531069,55,Sanjay Singh
59,2 Core Aluminum Armoured Cable,"The XLPE insulated heavy duty cables were introduce worldwide in mid sixties. These cables have overcome the limitation of PVC in mid sixties. These cables have overcome the limitations of PVC Insulated Cables such as thermal degradation, poor moisture resistant and thermoplastic in nature.",Manufacturer,25,2025-10-17 04:00:12.841087,2025-10-17 04:00:12.841134,57,Rahul Chatterjee
60,Armored Instrumentation Cable,"We are engaged in offering supreme quality Overall Aluminum Armored Instrumentation Cable, which is preferred for use in instrumentation computer and control application where signals are transmitted in excess of 100-mile volts except in areas where high voltage and current sources create excessive",Manufacturer,25,2025-10-17 04:04:24.009059,2025-10-17 04:04:24.009114,57,Rahul Chatterjee
61,Strip Roll Forming Machine,"Best quality Rolling Shutter Strip Roll Forming Machine from Labh Group - A Global leader with 30+ years of rich experience with presence in 100+ countries and serving 10,000+ delighted customers across the globe! Rolling Shutter Strip Roll Forming Machine",Manufacturer,25,2025-10-17 04:10:23.089844,2025-10-17 04:10:23.089887,58,Karan Bose
62,Automatic Round Cotton Machine,"A 10 kg/hr cotton wick making machine is designed for the efficient production of cotton wicks, commonly used in oil lamps, candles, and other lighting applications. This machine automates the process of twisting and winding cotton fibers into uniform wicks, ensuring consistent quality and output.",Manufacturer,25,2025-10-17 05:32:22.481500,2025-10-17 05:32:22.481545,59,Aditya Kumar
63,Food Material Mixing Machine,"A mixing machine for food materials and industrial applications is designed to blend ingredients efficiently and consistently, catering to a range of textures, viscosities, and consistencies required in food and other processing industries. The machine is built to handle everything from fine powders",Manufacturer,25,2025-10-17 05:35:13.934423,2025-10-17 05:35:13.934482,59,Aditya Kumar
64,RD Laser Controller,"RDC644XG Core Technology Development System is the latest generation of laser engraving / cutting control system , the control system has better hardware stability, better resistance to high pressure, static interference characteristics. 3.5-inch color screen based HMI operating system has a more",Manufacturer,25,2025-10-17 07:08:20.708451,2025-10-17 07:08:20.708503,60,Vikas more
65,JCZ Fiber Card/ EZ Cad Card,EzCad Card enables real-time control of scan system and lasers over a standard USB host interface. Customers can integrate complete machinery easily over the EzCad Card due to its compactness and I/O capabilities. Fast response times and short execution cycle times make the EzCad Card perfectly suit,Manufacturer,25,2025-10-17 07:10:00.485430,2025-10-17 07:10:00.485474,60,Vikas more
33,"Glucose Test Kit 4x125 Ml, Bl",The TRUEchemie Glucose Test Kit for the quantitative determination of total glucose in human serum or plasma.Ready-to -use. Liquid stable mono-reagent. GOD-POD method. Wide detection range of 0.800 mg/dL to 600 mg/dL. Excellent shelf life.,import-export,27,2025-10-16 16:46:41.719517,2025-10-16 16:46:41.719556,45,Vikas Sharma
34,Mindray Cd80 Detergent Reagent,"Warnings: The producty contains potassium hydroxide and it is alkaline Severe eye Irritant please wear eye protection For laboratory, healthcase use only Precautions: Do not use product past expiration date",import-export,27,2025-10-16 16:48:34.358061,2025-10-16 16:48:34.358114,45,Vikas Sharma
35,Liquid Horiba Abx Lysebio,"This product(s) resides on a Fisher Scientific GSA or VA contract. If you are viewing this page as a nonregistered user, the price(s) displayed is List Price. To view your GSA or VA contract pricing, log in using your account number, or become a registered user by contacting one of our Customer S",import-export,27,2025-10-16 16:54:06.719735,2025-10-16 16:54:06.719803,45,Vikas Sharma
25,3D Architectural Walkthrough S,"Real estate agents use them to offer clients a virtual tour of the property on a smartphone or tablet. 3D walkthroughs give the buyers a precise idea of the floor plan, design and other details that inform their decision-making.",Service Provider,29,2025-10-16 16:16:33.039025,2025-10-16 16:16:33.039079,44,Neha K
26,Industrial Plant DesignService,"TKV Global Trading Services is one of the toprung names in the Plant Design service industry. We are dedicated to helping EPC contractors, plant owners, equipment suppliers and consulting firms in expediting project delivery and minimizing design risks. As one of the premier engineering services",Architectural,30,2025-10-16 16:20:00.301102,2025-10-16 16:20:00.301148,44,Neha K
27,Pressure Vessel Design Service,"A heat exchanger is a device that transfers heat from one fluid to another, without the fluids coming into direct contact with each other. Heat exchangers are commonly used in a wide range of industries, including HVAC (heating, ventilation, and air conditioning), power generation, chemical processi",Architectural,30,2025-10-16 16:21:26.205678,2025-10-16 16:21:26.205719,44,Neha K
28,Industrial Interior Designing,"Established in year 2022 TKV Global Trading And Services is service provider Designing Services, Interior Designing Service, Animation Services etc.",Architectural,30,2025-10-16 16:23:34.292879,2025-10-16 16:23:34.292987,44,Neha K
29,Scale Model Making,"Established in year 2022 TKV Global Trading And Services is service provider Designing Services, Interior Designing Service Animation Services etc.",Architectural,30,2025-10-16 16:27:07.236431,2025-10-16 16:27:07.236493,44,Neha K
30,Mep Engineering Service,"our solutions are innovative, effective and cost-efficient. We specialize in providing turnkey solutions and help contractors, property developers and designers from the conceptualization of the design to the completion of the project",Architectural,30,2025-10-16 16:28:34.663683,2025-10-16 16:28:34.663722,44,Neha K
31,Industrial Piping Design,"To meet the varying desires of our clients, we are engrossed in providing highly reliable Pipe Design Service. Trained under the command of capable personnel, these services are broadly recommended. In addition to this, our services are offered at market leading rates",Architectural,30,2025-10-16 16:30:52.097384,2025-10-16 16:30:52.097429,44,Neha K
32,Building Model Maker Services,Established in year 2022 TKV Global Trading And Services is service provider Designing Services Interior Designing Service Animation Services etc.,Architectural,30,2025-10-16 16:33:11.775134,2025-10-16 16:33:11.775177,44,Neha K
54,Cheap & Fast Shipping Cargo,"Keeping in view assorted requirements and demands of our honored clientele, we are competent to render Cheap Fast Shipping Cargo Services to our customers. Our service is accomplished using the advanced techniques.",Transportation Services,31,2025-10-16 18:39:33.560912,2025-10-16 18:39:33.560957,52,Vikas Reddy
