id,PRODUCT_NAME,PRODUCT_DESCRIPTION,MIN_PRICE,MAX_PRICE,SELLER_id,CATEGORY,DESCRIPTION_OF_CATEGORY,CATEGORY_ID,CREATED_AT,UPDATED_AT,THUMBNAIL_IMAGE,SELLER_NAME
53,Engine Valve Tappet,"Due to the manufacturing complexity involved in this deceptively simple-looking component, Garima Global works with only the leading manufacturers of cam followers in India to source valve tappets / valve lifters for our customers. The purpose of the cam follower is to translate the lifting action.",,,51,Automobile,,10,2025-10-16 18:30:17.956123,2025-10-16 18:30:17.956164,buyer_seller/seller/seller_SEL4281354/Engine Valve Tappet/product_thumbnail/0000156701_10-17-25_00-00-15.jpg,Vihaan Kapoor
66,New energy automobile parts,"Battery Pack: Stores the electrical energy that powers the vehicle. 
Electric Motor: Propels the car, with modern designs focusing on high efficiency and lightweight construction. 
Power Electronics Controller: Manages the flow of electrical energy to and from the motor and other components.",,,65,Automobile,,10,2025-10-17 07:11:40.575978,2025-10-17 07:11:40.576022,buyer_seller/seller/seller_SEL1568908/New energy automobile parts/product_thumbnail/1241384641_10-17-25_12-41-38.jpg,Akash gupta
67,Break repair,"We provide reliable and professional brake inspection, maintenance, and repair for all types of vehicles. Our technicians ensure your brake pads, rotors, and fluids are in top condition for maximum safety. From minor adjustments to full replacements, we handle it all with precision and care.",,,66,Automobile,,10,2025-10-17 07:14:35.890873,2025-10-17 07:14:35.890926,buyer_seller/seller/seller_SEL8334492/Break repair/product_thumbnail/1244338411_10-17-25_12-44-34.jpg,Anju yadav
68,Automobile battery,An automobile battery is a rechargeable energy storage device that supplies electrical power to a vehicle. Its primary function is to provide the necessary current to start the engine and to power electrical components when the engine is not running. Once the engine starts the vehicle alternator,,,65,Automobile,,10,2025-10-17 07:16:23.678609,2025-10-17 07:16:23.678693,buyer_seller/seller/seller_SEL1568908/Automobile battery/product_thumbnail/1246223941_10-17-25_12-46-22.jpg,Akash gupta
69,Bike horn,"Our bike horns are designed for loud, clear sound to ensure safety on busy roads. Built with durable materials, they withstand all weather conditions. Easy to install and compatible with most two-wheelers. Ride confidently knowing you always be heard when it matters most.",,,66,Automobile,,10,2025-10-17 07:17:01.048792,2025-10-17 07:17:01.048846,buyer_seller/seller/seller_SEL8334492/Bike horn/product_thumbnail/1246592001_10-17-25_12-46-59.jpg,Anju yadav
88,Pick Up truck,"A full-size pickup truck is a body-on-frame vehicle designed for both personal and commercial use. These trucks are characterized by their larger dimensions, higher payload capacities, and more powerful engines compared to mid-size trucks. They typically offer: Engine Options: V6, V8, and diesel eng",,,70,Automobile,,10,2025-10-17 09:33:02.685977,2025-10-17 09:33:02.686038,buyer_seller/seller/seller_SEL9964811/Pick Up truck/product_thumbnail/1502597161_10-17-25_15-03-01.jpg,Vikram Patel
92,Electrical & Electronics,Battery Provides electrical power to start the engine. Alternator  Charges battery and powers electrical systems. Starter motor  Cranks the engine to start. ECU Engine Control Unit Brain of modern vehicles. Sensors & wiring harness Monitor and transmit data,,,70,Automobile,,10,2025-10-17 10:03:38.357703,2025-10-17 10:03:38.357749,buyer_seller/seller/seller_SEL9964811/Electrical & Electronics/product_thumbnail/1533359361_10-17-25_15-33-36.jpg,Vikram Patel
81,Travel booking services,Flight and Train Ticket Booking Hotel & Resort Reservations Cruise Bookings Visa Assistance  Travel Insurance,,,72,Travel and Tourism,travel,11,2025-10-17 09:18:33.205608,2025-10-17 09:18:33.205655,buyer_seller/seller/seller_SEL2835127/Travel booking services/product_thumbnail/1448316651_10-17-25_14-48-31.jpg,Vandana Yadav
82,Custom Travels solution,"Tailor-made Itineraries Family Vacation Planning Destination Weddings & Event Travel MICE (Meetings, Incentives, Conferences, Exhibitions)",,,72,Travel and Tourism,travel,11,2025-10-17 09:20:57.166419,2025-10-17 09:20:57.166462,buyer_seller/seller/seller_SEL2835127/Custom Travels solution/product_thumbnail/1450554131_10-17-25_14-50-55.jpg,Vandana Yadav
84,Travel Booking services,Flight and Train Ticket Booking Hotel & Resort Reservations Cruise Bookings Visa Assistance & Travel Insurance,,,72,Travel and Tourism,travel,11,2025-10-17 09:25:03.819365,2025-10-17 09:25:03.819428,buyer_seller/seller/seller_SEL2835127/Travel Booking services/product_thumbnail/1455020911_10-17-25_14-55-02.jpg,Vandana Yadav
72,Digital marketing,"Learn the core concepts of digital marketing, including SEO, social media strategies, email campaigns, and online advertising. This course helps you create effective marketing plans to boost brand visibility. Hands-on projects provide real-world experience.",,,69,Education,,12,2025-10-17 07:25:40.202666,2025-10-17 07:25:40.202741,buyer_seller/seller/seller_SEL1437833/Digital marketing/product_thumbnail/1255385031_10-17-25_12-55-38.jpg,Raj Sharma
73,Full Stack Development,"Master both front-end and back-end web development using HTML, CSS, JavaScript, and popular frameworks. Learn to build responsive websites, dynamic applications, and REST APIs. Includes practical projects for portfolio building. Gain the skills required to become a professional web developer.",,,69,Education,,12,2025-10-17 07:27:20.894426,2025-10-17 07:27:20.894469,buyer_seller/seller/seller_SEL1437833/Full Stack Development/product_thumbnail/1257190331_10-17-25_12-57-19.jpg,Raj Sharma
83,Artificial intelligence,"Learn the fundamentals of Artificial Intelligence, including machine learning, neural networks, and natural language processing. Gain hands-on experience with real-world AI projects and predictive analytics. Understand how AI can solve complex problems and improve decision-making across industries.",,,73,Education,,12,2025-10-17 09:23:20.704653,2025-10-17 09:23:20.704703,buyer_seller/seller/seller_SEL7329160/Artificial intelligence/product_thumbnail/1453093441_10-17-25_14-53-18.jpg,Ankit More
85,Business Management,"Develop essential skills in management, planning, and effective leadership to drive organizational success. Learn strategic decision-making, team building, and operational management techniques. Explore real-world business challenges through case studies and practical projects.",,,73,Education,,12,2025-10-17 09:25:11.384164,2025-10-17 09:25:11.384219,buyer_seller/seller/seller_SEL7329160/Business Management/product_thumbnail/1455094671_10-17-25_14-55-09.jpg,Ankit More
86,Graphic Design & UI/UX,"Explore creative design principles and learn tools like Photoshop, Illustrator, and Figma. Understand user experience, interface design, and visual storytelling. Work on real-world projects to build a professional portfolio. Ideal for creative minds aiming for careers in design.",,,73,Education,,12,2025-10-17 09:27:29.580530,2025-10-17 09:27:29.580574,buyer_seller/seller/seller_SEL7329160/Graphic Design & UI/UX/product_thumbnail/1457276541_10-17-25_14-57-28.jpg,Ankit More
55,Cotton Bath Towel,"Item Description: What makes these towels so attractive? It's their longer, stronger loops, which give them good absorbency and softness. They also have various sizing meeting demands of customers of all ages, and they're designed to take less time in the dryer .",,,53,Homecare,,15,2025-10-16 18:45:58.516713,2025-10-16 18:45:58.516753,buyer_seller/seller/seller_SEL2834148/Cotton Bath Towel/product_thumbnail/0015564841_10-17-25_00-15-57.jpg,Anita Banerjee
58,Cotton White Macrame Curtain,"Macrame Curtain : MCRN1081)Size: Height 70'', Length 34''2)Curtain Made with Cotton And one of more Material.3)Weight:800 gms. 4)Fashionable style. 5)Welcome to customer's sample",,,56,Homecare,,15,2025-10-16 19:32:28.392818,2025-10-16 19:32:28.392858,buyer_seller/seller/seller_SEL3062740/Cotton White Macrame Curtain/product_thumbnail/0102261991_10-17-25_01-02-26.jpg,Karan Nair
74,Digital Magnetic Stirrer,"A precision-engineered digital magnetic stirrer with an integrated hot plate, designed for uniform heating and efficient mixing of chemical and biological samples. Equipped with a digital temperature and speed controller, the PS-200 ensures accuracy, stability, and safety in laboratory",,,64,Constructions,,19,2025-10-17 07:37:55.469788,2025-10-17 07:37:55.469827,buyer_seller/seller/seller_SEL1152396/Digital Magnetic Stirrer/product_thumbnail/1307541231_10-17-25_13-07-54.jpg,Jayant Patil
75,UV-Vis spectophotometer,A high-performance UV-Vis spectrophotometer designed for precise quantitative and qualitative analysis in research and industrial laboratories.,,,64,Constructions,,19,2025-10-17 07:40:45.549330,2025-10-17 07:40:45.549372,buyer_seller/seller/seller_SEL1152396/UV-Vis spectophotometer/product_thumbnail/1310434081_10-17-25_13-10-43.jpg,Jayant Patil
76,Student Microscope,A durable and user-friendly optical microscope designed for educational institutions and entry-level research applications.,,,64,Constructions,,19,2025-10-17 07:46:16.605033,2025-10-17 07:51:01.537920,buyer_seller/seller/seller_SEL1152396/Student Microscope/product_thumbnail/thumb_1320595781_10-17-25_13-20-59.jpg,Jayant Patil
89,Service and Monitor,Servicing & Monitoring Automated payment collection and reconciliation Direct debit setup and borrower portal Statements generation and task tracking,,,68,Finance,,20,2025-10-17 09:39:17.184660,2025-10-17 09:39:17.184701,buyer_seller/seller/seller_SEL8165347/Service and Monitor/product_thumbnail/1509154151_10-17-25_15-09-15.jpg,Arjun Kene
90,Portfolio management,Portfolio Management Real-time analytics and custom dashboards Risk management tools Audit trails and centralized data warehouse,,,68,Finance,,20,2025-10-17 09:40:36.539962,2025-10-17 09:40:36.540007,buyer_seller/seller/seller_SEL8165347/Portfolio management/product_thumbnail/1510349371_10-17-25_15-10-35.jpg,Arjun Kene
44,Hotel Booking App Development,"Xcrino Business Solutions is recognized as one of the best hotel booking app development companies in India, delivering advanced, feature-rich, and scalable solutions for the travel and hospitality industry. Whether you're a hotel chain, travel startup, or aggregator, we help you launch a custom hot",,,49,IT Services,,22,2025-10-16 17:54:00.679192,2025-10-16 17:54:00.679236,buyer_seller/seller/seller_SEL5116908/Hotel Booking App Development/product_thumbnail/2323585661_10-16-25_23-23-59.jpg,Rohan Sharma
45,Mobile Application Development,"Mobile application development companies in the UK specialize in creating custom mobile apps tailored to client goals. From concept to deployment, they focus on scalability and user satisfaction. Xcrino Business Solutions supports UK clients by delivering cutting-edge apps designed for maximum impac",,,49,IT Services,,22,2025-10-16 17:55:18.290019,2025-10-16 17:55:18.290061,buyer_seller/seller/seller_SEL5116908/Mobile Application Development/product_thumbnail/2325168301_10-16-25_23-25-16.jpg,Rohan Sharma
46,Custom Android App Development,"Custom Android App Development Services by Xcrino Business Solutions At Xcrino Business Solutions

 Custom App Design and Development  Native & Hybrid Android Solutions UI/UX Design Optimized for Android Devices App Testing & Performance Enhancement",,,49,IT Services,,22,2025-10-16 17:58:04.623539,2025-10-16 17:58:04.623656,buyer_seller/seller/seller_SEL5116908/Custom Android App Development/product_thumbnail/2327564791_10-16-25_23-28-03.jpg,Rohan Sharma
79,Microsoft Office 365 Personal,"Though often thought of as a software product  Office 365 is actually a subscription based IT productivity service delivered via cloud. It provides Access to Word, Excel, PowerPoint, Outlook, OneNote etc Cloud storage via Onedrive, Cross device access.",,,67,IT Services,,22,2025-10-17 09:10:33.990755,2025-10-17 09:10:33.990800,buyer_seller/seller/seller_SEL7725124/Microsoft Office 365 Personal/product_thumbnail/1440325011_10-17-25_14-40-32.jpg,Samir Jain
80,IT Asset Management,"ITAM offering lets organizations manage all their IT assets hardware, software, cloud from acquisition through retirement Key features include: Automation of asset lifecycle procurement deployment maintenance  disposal Visibility  compliance tracking usage, contracts,licenses",,,67,IT Services,,22,2025-10-17 09:17:53.857039,2025-10-17 09:17:53.857098,buyer_seller/seller/seller_SEL7725124/IT Asset Management/product_thumbnail/1447524331_10-17-25_14-47-52.jpg,Samir Jain
13,Plant Layout Solar Cold Storag,"Solar Cooling allows eliminating power consumption and electricity costs. Due to the fast growing cooling demand, solar solutions will become an important pillar of cold supply. In industry and commerce, thermal driven absorption chillers offer attractive opportunities when they are powered by solar",,,3,Consultant,,23,2025-10-16 12:48:14.746169,2025-10-16 12:48:14.746211,buyer_seller/seller/seller_SEL9438801/Plant Layout Solar Cold Storag/product_thumbnail/1818126521_10-16-25_18-18-13.jpg,Akash more
14,Project (Bio-CNG Project) Brie,"Bio-CNG Project A non-polluting and renewable source of energy is obtained in a biogas plants. Under the process organic waste is converted to useful fuel. It is an excellent way of energy conversion. Automobile grade Bio-CNG can be produced from WASTE STUFF from Rural, Municipality, Fruit & Vegeta",,,3,Consultant,,23,2025-10-16 12:54:28.284217,2025-10-16 12:54:28.284257,buyer_seller/seller/seller_SEL9438801/Project (Bio-CNG Project) Brie/product_thumbnail/1824262011_10-16-25_18-24-26.jpg,Akash more
15,Feasibility  Report  Green Amm,"GREEN AMMONIA Preface Though over 78% of the atmosphere is composed of nitrogen, it is difficult to use N2 directly by plants as plants can only use fixed nitrogen. The breakthrough in nitrogen fixation took place a century",,,3,Consultant,,23,2025-10-16 12:57:03.849265,2025-10-16 12:57:03.849319,buyer_seller/seller/seller_SEL9438801/Feasibility  Report  Green Amm/product_thumbnail/1827019331_10-16-25_18-27-02.jpg,Akash more
21,Contingency Recruitment Servic,Contingency Recruitment Service We specialize in providing comprehensive contingency recruitment services across a wide spectrum of industries Industry We Serve: Hospitality Recruitment Services Oil and Gas Recruitment Service Civil Recruitment Service Engineer Recruitment Service Factory Staff Recr,,,43,Consultant,,23,2025-10-16 13:23:01.354022,2025-10-16 13:23:01.354072,buyer_seller/seller/seller_SEL6829179/Contingency Recruitment Servic/product_thumbnail/1852595061_10-16-25_18-52-59.jpg,Satish kamble
22,Recruitment Consultancy Servic,"Not only in India, but companies across South and Southeast Asia, as well as the Gulf and Middle East regions, are currently experiencing a hiring boom, creating numerous job opportunities for both fresh graduates and seasoned professionals. At Ajeets, we specialize in IT and telecom recruitment ser",,,43,Consultant,,23,2025-10-16 13:25:41.596573,2025-10-16 13:25:41.596627,buyer_seller/seller/seller_SEL6829179/Recruitment Consultancy Servic/product_thumbnail/1855395841_10-16-25_18-55-40.jpg,Satish kamble
23,Recruitment Support Service,"We Serve: At Ajeets Management, we specialize in providing top-tier recruitment services across a diverse array of industries. Our expertise spans the following sectors: Hospitality Recruitment Services Oil and Gas Recruitment Services Civil Engineering Recruitment Services Engineering Recruitment S",,,43,Consultant,,23,2025-10-16 13:27:20.112862,2025-10-16 13:27:20.112938,buyer_seller/seller/seller_SEL6829179/Recruitment Support Service/product_thumbnail/1857182111_10-16-25_18-57-18.jpg,Satish kamble
24,Sewerage & Water Recruitment S,"We specialize in Sewerage and Water Recruitment Services, offering expert recruitment solutions globally.",,,43,Consultant,,23,2025-10-16 13:28:55.390131,2025-10-16 13:28:55.390212,buyer_seller/seller/seller_SEL6829179/Sewerage & Water Recruitment S/product_thumbnail/1858533081_10-16-25_18-58-53.jpg,Satish kamble
3,Cow Milking Machine,"Owing to the years of industrial knowledge, we have been able to serve our dear clients with a wide variety of Milking Machine. This machine has ability to take out milk from 100 cows per hour",,,3,Manufacturer,,25,2025-10-16 11:47:07.018755,2025-10-16 12:44:04.910565,buyer_seller/seller/seller_SEL9438801/Cow Milking Machine/product_thumbnail/1717040511_10-16-25_17-17-04.jpg,Akash more
4,Synova Laser Cutting Machine,The S-1005 integrates Synovas  state-of-the-art Laser MicroJet LMJ technology with a wide machine platform and table for large work pieces. This 5-axis system with optional C2 rotary axis allows high-precision 2D and 3D machining of metals and ceramics free of heat affected zone HAZand burrs.,,,14,Manufacturer,,25,2025-10-16 12:17:13.588586,2025-10-16 12:17:13.588629,buyer_seller/seller/seller_SEL359207/Synova Laser Cutting Machine/product_thumbnail/1747114231_10-16-25_17-47-12.jpg,Sandeep Kumar
5,Synova Laser Cutting Machine,"The Synova DCS 150 is a diamond cutting system designed for processing small to medium-sized natural and laboratory-grown diamonds. This 3-axis machine is capable of sawing rough diamonds ranging from 2 grz. to 4 cts., as well as coring and slicing Chemical Vapor Deposition (CVD) diamonds.",,,14,Manufacturer,,25,2025-10-16 12:23:23.304668,2025-10-16 12:23:23.304714,buyer_seller/seller/seller_SEL359207/Synova Laser Cutting Machine/product_thumbnail/1753216681_10-16-25_17-53-22.jpg,Sandeep Kumar
6,LCS 50 Synova Laser Cutting,"The Synova LCS 50 is a compact and cost-efficient Laser MicroJet(LMJ) machine designed for high-precision machining of small workpieces, such as industrial diamond tools and watch components. It is available in both 3-axis  LCS 50-3and 5-axis (LCS 50-5) configurations, catering to various cuttin",,,14,Manufacturer,,25,2025-10-16 12:25:23.688933,2025-10-16 12:25:23.688983,buyer_seller/seller/seller_SEL359207/LCS 50 Synova Laser Cutting/product_thumbnail/1755217801_10-16-25_17-55-22.jpg,Sandeep Kumar
7,LCS 800 Synova Laser Cutting,The 3-axis laser cutting machine S-800 is a robust and versatile system conceived for a multitude of high-precision cutting and drilling applications in different industrial sectors. The large mounting table allows machining of virtually any part size and is suited for small series and prototypes bu,,,14,Manufacturer,,25,2025-10-16 12:26:51.604809,2025-10-16 12:26:51.604853,buyer_seller/seller/seller_SEL359207/LCS 800 Synova Laser Cutting/product_thumbnail/1756497331_10-16-25_17-56-50.jpg,Sandeep Kumar
8,LCS 303 Synova Laser Cutting,"Workshop Workhorse LCS 303The 3-axis LCS 303 with water jet guided laser technology (Laser MicroJet) is a highly accurate and reliable laser cutting system. It can process a wide variety of materials, from metals to ultra-hard and brittle materials such as diamond or ceramic, to complex composites.",,,14,Manufacturer,,25,2025-10-16 12:28:53.118092,2025-10-16 12:28:53.118148,buyer_seller/seller/seller_SEL359207/LCS 303 Synova Laser Cutting/product_thumbnail/1758509841_10-16-25_17-58-51.jpg,Sandeep Kumar
9,DaVinci Diamond Cutting Machin,"Virtually complete Rough-to-Polish   process 57 facets,one single operation  Reduced manufacturing pipeline  Higher accuracy and stone yield  Stone size: 0.25 to 10 cts",,,14,Manufacturer,,25,2025-10-16 12:30:21.626435,2025-10-16 12:30:21.626477,buyer_seller/seller/seller_SEL359207/DaVinci Diamond Cutting Machin/product_thumbnail/1800198631_10-16-25_18-00-20.jpg,Sandeep Kumar
10,DCS 50 Synova Diamond Cutting,"fancy and round bruting, coning, blocking/ faceting  Key BenefitsEasyNo focus control necessary due to long working distanceNo blackening, no opening, no double sawing neededVery little post treatment requiredProfitableMinimal weight loss and low risk of breakageFast cutting time and easy processing",,,14,Manufacturer,,25,2025-10-16 12:36:48.813565,2025-10-16 12:36:48.813608,buyer_seller/seller/seller_SEL359207/DCS 50 Synova Diamond Cutting/product_thumbnail/1806469331_10-16-25_18-06-47.jpg,Sandeep Kumar
